community_id,message_id,rank_score,rank_within_community,topic_count,max_conf,mean_conf,margin_clamped,entropy,len_chars,len_words,has_multi,ambiguity_target,is_ambiguous,content
adad505c-ead6-4eb5-96dc-69d008db8185,1336852776721977414,-0.00032408832,1,1,0.9,0.9,0.9,0.0,51,11,0,0.03499999999999999,0,what would be a good ship for starting out mining ?
adad505c-ead6-4eb5-96dc-69d008db8185,1336857664583635097,-0.00032408832,2,1,0.9,0.9,0.9,0.0,26,4,0,0.03499999999999999,0,Venture's your only choice
adad505c-ead6-4eb5-96dc-69d008db8185,1336857816899653673,-0.00032408832,3,1,0.7,0.7,0.7,0.0,31,6,0,0.10500000000000001,0,FW is a very solo-able activity
adad505c-ead6-4eb5-96dc-69d008db8185,1336858619043381320,-0.00032408832,4,1,0.9,0.9,0.9,0.0,49,10,0,0.03499999999999999,0,"the before times, when Eve was in black and white"
adad505c-ead6-4eb5-96dc-69d008db8185,1336859392439750659,-0.00032408832,5,2,0.7,0.7,0.0,1.0,141,28,1,0.8875,1,"Which militia did you join?  if it's one of the empire militias, join their discord.  Also the Eve Uni wiki has good info on the basics of FW"
adad505c-ead6-4eb5-96dc-69d008db8185,1336861659192361012,-0.00032408832,6,1,0.9,0.9,0.9,0.0,26,5,0,0.03499999999999999,0,I joined the Amarr Empire.
adad505c-ead6-4eb5-96dc-69d008db8185,1336861894371446886,-0.00032408832,7,4,0.7,0.7,0.0,1.0,151,32,1,0.9624999999999999,1,"one time I tried dualbox pvping with a bomber and a cloaked vigil in plex

Did not do very well, though I did manage to kill a badly fit fet navy comet"
adad505c-ead6-4eb5-96dc-69d008db8185,1336869546598072342,-0.00032408832,8,1,0.7,0.7,0.7,0.0,45,10,0,0.10500000000000001,0,If you're on mobile I will provide it for you
adad505c-ead6-4eb5-96dc-69d008db8185,1336871430045962270,-0.00032408832,9,2,0.9,0.9,0.0,1.0,129,15,1,0.8875,1,"Another fight involving more of 2000 people but worth less of 2 titans :kek: 
https://br.evetools.org/br/67a3de3117e81e00126a32c0"
adad505c-ead6-4eb5-96dc-69d008db8185,1336871645570273364,-0.00032408832,10,1,0.9,0.9,0.9,0.0,99,22,0,0.03499999999999999,0,it's funny that i could SRP all the losses of this fight for all the people out of my isk wallet  😂
adad505c-ead6-4eb5-96dc-69d008db8185,1336872807480688773,-0.00032408832,11,2,0.9,0.8,0.20000000000000007,0.9886994082884974,51,12,1,0.8118497041442486,1,Do it bro i was multiboxing 50 or so of the feroxes
adad505c-ead6-4eb5-96dc-69d008db8185,1336877615579009127,-0.00032408832,12,2,0.9,0.9,0.0,1.0,181,33,1,0.8875,1,"it was just an observation, after years of blue donut and non stop farming like rats, the SRP wallets of alliances in null now can afford only T2 cruisers and battle cruisers fights"
